index,ground_truth,prediction_single,prediction_majority,prediction_agent,raw_analyst_answers,analyst_reasons,raw_judge_answer
0,3,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 3']","['LABEL: 2', 'LABEL: 2', 'LABEL: 3']",2
1,3,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
2,3,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
3,2,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
4,0,3,2,2,"['LABEL: 3', 'LABEL: 2', 'LABEL: 2']","['LABEL: 3', 'LABEL: 2', 'LABEL: 2']",2
5,2,3,3,2,"['LABEL: 3', 'LABEL: 3', 'LABEL: 2']","['LABEL: 3', 'LABEL: 3', 'LABEL: 2']",2
6,2,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
7,3,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
8,2,2,3,2,"['LABEL: 2', 'LABEL: 3', 'LABEL: 3']","['LABEL: 2', 'LABEL: 3', 'LABEL: 3']",2
9,3,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
10,1,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
11,3,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
12,2,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
13,1,1,1,1,"['LABEL: 1', 'LABEL: 1', 'LABEL: 2']","['LABEL: 1', 'LABEL: 1', 'LABEL: 2']",1
